ID,レベル,領域,章参照,課題タイトル,課題内容,提出物,タグ
I057,中級,pandas,第14–23章,rolling.applyの自作関数,ウィンドウ内のカスタム指標（例：最大-最小）を計算。,Notebook（.ipynb）,pandas
I058,中級,pandas,第14–23章,時系列：営業日カレンダー,BDay/CBMonthEndなどのオフセットを使う。,Notebook（.ipynb）,pandas
I059,中級,pandas,第14–23章,read_csvの実践,大きめCSVをchunksizeで読み込み、集約結果を結合。,Notebook（.ipynb）,pandas
I060,中級,pandas,第14–23章,to_parquetの体験,Parquetで保存し、dtypeとサイズを比較する。,Notebook（.ipynb）,pandas
I061,中級,Matplotlib/可視化,第29–36章,カスタム凡例,ハンドルを自作して点サイズの意味を示す凡例を作る。,Notebook（.ipynb）,Matplotlib
I062,中級,Matplotlib/可視化,第29–36章,2軸グラフ,twinxで2つのy軸を持つ図を作り、目盛りをフォーマットする。,Notebook（.ipynb）,Matplotlib
I063,中級,Matplotlib/可視化,第29–36章,注釈の高度化,annotateでテキスト枠のスタイル・矢印プロップを調整する。,Notebook（.ipynb）,Matplotlib
I064,中級,Matplotlib/可視化,第29–36章,色バーの拡張,extend='both'や離散カラーバーで外れ値を表現する。,Notebook（.ipynb）,Matplotlib
I065,中級,Matplotlib/可視化,第29–36章,サブプロット間の共有軸,sharex/shareyで比較しやすい配置にする。,Notebook（.ipynb）,Matplotlib
I066,中級,Matplotlib/可視化,第29–36章,GridSpec高度化,比率の異なるグリッドとinset_axesで差し込み図を作る。,Notebook（.ipynb）,Matplotlib
I067,中級,Matplotlib/可視化,第29–36章,Formatter/Locator自作,金額や日付のフォーマットをカスタムFormatterで実装。,Notebook（.ipynb）,Matplotlib
I068,中級,Matplotlib/可視化,第29–36章,目盛の間引き,MaxNLocatorなどで見やすい目盛間隔を自動化する。,Notebook（.ipynb）,Matplotlib
I069,中級,Matplotlib/可視化,第29–36章,rcParamsプロファイル,設定の保存/読み込みでスタイルを再現する。,Notebook（.ipynb）,Matplotlib
I070,中級,Matplotlib/可視化,第29–36章,等高線のラベリング,clabelで等高線に数値を付与する。,Notebook（.ipynb）,Matplotlib
I071,中級,Matplotlib/可視化,第29–36章,棒グラフのエラーバー,barとerrorbarを組み合わせた図を作る。,Notebook（.ipynb）,Matplotlib
I072,中級,Matplotlib/可視化,第29–36章,3D表面図,plot_surfaceでサンプル関数の表面を描く。,Notebook（.ipynb）,Matplotlib
I073,中級,Matplotlib/可視化,第29–36章,3D等高線・ワイヤーフレーム,contour3Dとplot_wireframeの違いを比較。,Notebook（.ipynb）,Matplotlib
I074,中級,Matplotlib/可視化,第29–36章,seaborn入門,pairplotとjointplotで関係を俯瞰する。,Notebook（.ipynb）,Matplotlib
I075,中級,Matplotlib/可視化,第29–36章,FacetGrid,カテゴリで面分割した図を作る。,Notebook（.ipynb）,Matplotlib
I076,中級,Matplotlib/可視化,第29–36章,スタイル比較,"ggplot, fivethirtyeight, seabornを比較し可読性を考察。",Notebook（.ipynb）,Matplotlib
I077,中級,Matplotlib/可視化,第29–36章,保存自動化,複数図をループで保存し、ファイル名に変数を埋め込む。,Notebook（.ipynb）,Matplotlib
I078,中級,Matplotlib/可視化,第29–36章,相関の可視化,ヒートマップで相関行列を可視化する。,Notebook（.ipynb）,Matplotlib
I079,中級,Matplotlib/可視化,第29–36章,密度推定,kdeplot相当をMatplotlibとSciPyで描く。,Notebook（.ipynb）,Matplotlib
I080,中級,Matplotlib/可視化,第29–36章,ベストプラクティス検討,色覚バリアフリーの配色選択を検討し資料化する。,Notebook（.ipynb）,Matplotlib
I081,中級,機械学習（scikit-leーン）,第38–46章,交差検証の設計,KFoldとStratifiedKFoldを比較し、分類で分布がどう保たれるか検証する。,Notebook（.ipynb）,scikit-learn
I082,中級,機械学習（scikit-leーン）,第38–46章,グリッドサーチ,"SVM(C, gamma)でGridSearchCVし、ベストパラメータとスコアを報告。",Notebook（.ipynb）,scikit-learn
I083,中級,機械学習（scikit-leーン）,第38–46章,学習曲線/検証曲線,同一データで2つの曲線を描き、過学習/学習不足を議論。,Notebook（.ipynb）,scikit-learn
I084,中級,機械学習（scikit-leーン）,第38–46章,パイプライン,StandardScaler→PCA→ロジスティック回帰のPipelineでIris分類。,Notebook（.ipynb）,scikit-learn
I085,中級,機械学習（scikit-leーン）,第38–46章,欠損補完と前処理,ColumnTransformerで数値は標準化、カテゴリはOne-Hot、欠損は補完。,Notebook（.ipynb）,scikit-learn
I086,中級,機械学習（scikit-leーン）,第38–46章,ナイーブベイズ（テキスト）,20newsgroupsの一部を使ってMultinomialNBで分類。,Notebook（.ipynb）,scikit-learn
I087,中級,機械学習（scikit-leーン）,第38–46章,ランダムフォレスト特徴重要度,RFで重要度を棒グラフ表示し、上位特徴を分析。,Notebook（.ipynb）,scikit-learn
I088,中級,機械学習（scikit-leーン）,第38–46章,SVMのカーネル比較,linear/RBF/polyで分類性能の差を比較。,Notebook（.ipynb）,scikit-learn
I089,中級,機械学習（scikit-leーン）,第38–46章,線形回帰の正則化,RidgeとLassoで係数の縮小効果を可視化。,Notebook（.ipynb）,scikit-learn
I090,中級,機械学習（scikit-leーン）,第38–46章,回帰の評価指標,MAE/MSE/R2を同一データで比較する。,Notebook（.ipynb）,scikit-learn
I091,中級,機械学習（scikit-leーン）,第38–46章,ROC/AUC,2クラス分類でROC曲線とAUCを算出。,Notebook（.ipynb）,scikit-learn
I092,中級,機械学習（scikit-leーン）,第38–46章,多クラス評価,混同行列を作成し、精度/適合率/再現率/F1を報告。,Notebook（.ipynb）,scikit-learn
I093,中級,機械学習（scikit-leーン）,第38–46章,特徴量選択,SelectKBestやRFEで特徴量を絞り、性能比較。,Notebook（.ipynb）,scikit-learn
I094,中級,機械学習（scikit-leーン）,第38–46章,クラスタリング評価,k-meansでシルエット係数を計算し、kの選び方を検討。,Notebook（.ipynb）,scikit-learn
I095,中級,機械学習（scikit-leーン）,第38–46章,DBSCAN入門,ノイズを含むクラスタリングにDBSCANを試す。,Notebook（.ipynb）,scikit-learn
I096,中級,機械学習（scikit-leーン）,第38–46章,PCAの可視化,2成分に圧縮して散布図を描き、クラス分離を観察。,Notebook（.ipynb）,scikit-learn
I097,中級,機械学習（scikit-leーン）,第38–46章,Isomap/LLE比較,digitsデータで非線形次元削減2種を比較。,Notebook（.ipynb）,scikit-learn
I098,中級,機械学習（scikit-leーン）,第38–46章,ハイパーパラ最適化（ランダム探索）,RandomizedSearchCVで広い範囲を探索する。,Notebook（.ipynb）,scikit-learn
I099,中級,機械学習（scikit-leーン）,第38–46章,パイプラインの保存,joblibで学習済みモデルを保存/読み込み。,Notebook（.ipynb）,scikit-learn
I100,中級,機械学習（scikit-leーン）,第38–46章,データリーク検出,不適切な前処理（全データで標準化など）が起こすリークを実験で示す。,Notebook（.ipynb）,scikit-learn
A001,上級,Jupyter/IPython,第2–3章,%prunでプロファイル,ボトルネックを含む処理を%prunでプロファイルし、上位関数を特定する。,Notebook（.ipynb）,"IPython, profiling"
A002,上級,Jupyter/IPython,第2–3章,%lprunで行単位プロファイル,line_profilerを使ってホットスポットの行を特定し、改善案を提示。,Notebook（.ipynb）,"IPython, profiling"
A003,上級,Jupyter/IPython,第2–3章,%memitでメモリ計測,memory_profilerの%memitでピークメモリを計測し、データ構造で削減する。,Notebook（.ipynb）,"IPython, profiling"
A004,上級,Jupyter/IPython,第2–3章,例外の詳細調査,%xmode Verboseで深いスタックの原因を追跡する。,Notebook（.ipynb）,"IPython, profiling"
A005,上級,Jupyter/IPython,第2–3章,デバッグの実戦,複数関数が絡むバグを%debugで再現し、修正コミットメッセージを書く。,Notebook（.ipynb）,"IPython, profiling"
A006,上級,Jupyter/IPython,第2–3章,シェル連携の自動化,!find/!grep/!sed等（Windowsは代替）でログ解析パイプをNotebook化。,Notebook（.ipynb）,"IPython, profiling"
A007,上級,Jupyter/IPython,第2–3章,マジックの自作,簡単なlineマジックを実装し、利用例とともに配布可能な形にする。,Notebook（.ipynb）,"IPython, profiling"
A008,上級,Jupyter/IPython,第2–3章,プロファイル前後比較,最適化前後で%timeit/%prunの差をレポートにまとめる。,Notebook（.ipynb）,"IPython, profiling"
A009,上級,Jupyter/IPython,第2–3章,nbconvertでレポート生成,NotebookをHTML/PDFに変換し、図とテーブル付きのレポートを作る。,Notebook（.ipynb）,"IPython, profiling"
A010,上級,Jupyter/IPython,第2–3章,再現性の確保,random seed・環境情報・パッケージバージョンをNotebook内に記録する仕組みを作る。,Notebook（.ipynb）,"IPython, profiling"
A011,上級,pandas,第16–23章,巨大CSVの分割集約,chunksizeで段階的に読み、オンメモリ集約と結果の結合を行う。,Notebook（.ipynb）,pandas
A012,上級,pandas,第16–23章,dtype最適化,数値/カテゴリ/日時の適切なdtypeを選び、メモリ削減率を報告。,Notebook（.ipynb）,pandas
A013,上級,pandas,第16–23章,メソッド連鎖設計,pipe/assign/queryで前処理パイプを関数化し再利用可能にする。,Notebook（.ipynb）,pandas
A014,上級,pandas,第16–23章,インデクス戦略,RangeIndex/DatetimeIndex/CategoricalIndexの長所短所を実験比較。,Notebook（.ipynb）,pandas
A015,上級,pandas,第16–23章,高度なgroupby,多指標（平均・分散・歪度・尖度）とブートストラップ信頼区間を出力。,Notebook（.ipynb）,pandas
A016,上級,pandas,第16–23章,時系列の穴埋め高度化,holidayカレンダーを考慮して営業日補間する。,Notebook（.ipynb）,pandas
A017,上級,pandas,第16–23章,ローリングの効率化,numbaエンジン（可能なら）でrolling.applyを高速化。,Notebook（.ipynb）,pandas
A018,上級,pandas,第16–23章,複雑なjoin,時刻の最近傍で結びつけるmerge_asofを実装・検証。,Notebook（.ipynb）,pandas
A019,上級,pandas,第16–23章,ピボット×MultiIndex,複数階層の列・行でピボット→列名の整形（flatten）関数を作る。,Notebook（.ipynb）,pandas
A020,上級,pandas,第16–23章,文字列正規化,全角/半角/ひらがな/カタカナの正規化を一括実装。,Notebook（.ipynb）,pandas
A021,上級,pandas,第16–23章,テキスト→特徴量表,文字列列から頻出n-gramカウント表を作る（pandasのみで）。,Notebook（.ipynb）,pandas
A022,上級,pandas,第16–23章,欠損のMCAR/MAR/MNAR仮説,シミュレーションで3種類の欠損生成を実装し影響を比較。,Notebook（.ipynb）,pandas
A023,上級,pandas,第16–23章,out-of-core集計,pd.read_csv+usecolsで必要列のみ読み、集約を高速化。,Notebook（.ipynb）,pandas
A024,上級,pandas,第16–23章,ハイブリッドインデクス,文字列×日時のMultiIndexで部分選択と範囲スライスを併用。,Notebook（.ipynb）,pandas
A025,上級,pandas,第16–23章,窓関数でイベント検出,rollingで変化点（急騰/急落）を検出する指標を設計。,Notebook（.ipynb）,pandas
A026,上級,pandas,第16–23章,メモリプロファイル,memory_usage(deep=True)の内訳をレポートし、最適化後と比較。,Notebook（.ipynb）,pandas
A027,上級,pandas,第16–23章,地理データの前処理,緯度経度をビンに割り当ててヒートマップ集計（GeoPandas無し）。,Notebook（.ipynb）,pandas
A028,上級,pandas,第16–23章,時系列の重複イベント解決,重複する期間データを結合し、非重複区間列を作る。,Notebook（.ipynb）,pandas
A029,上級,pandas,第16–23章,巨大データのソート戦略,sort_valuesのメモリ/時間のトレードオフを測定する。,Notebook（.ipynb）,pandas
A030,上級,pandas,第16–23章,I/O最適化,圧縮（gzip/zstd）とフォーマット（csv/parquet）でサイズと速度を比較。,Notebook（.ipynb）,pandas
A031,上級,pandas,第16–23章,カスタムインデクサ,pd.api.indexersを使わずにユーザ定義インデクサ的な処理をrollingで再現。,Notebook（.ipynb）,pandas
A032,上級,pandas,第16–23章,グループのターゲットエンコーディング,リーク防止のために交差検証内で平均ターゲットを計算。,Notebook（.ipynb）,pandas
A033,上級,pandas,第16–23章,pandas×NumPy協調,vectorize/where/selectを使ってpandasにNumPyの計算を組み込む。,Notebook（.ipynb）,pandas
A034,上級,pandas,第16–23章,タイムゾーンまたぎの集約,UTCに正規化した上でローカル日付単位の集計を行う。,Notebook（.ipynb）,pandas
A035,上級,pandas,第16–23章,EDAレポート自動化,NotebookからPDF/HTMLの自動レポートを生成する仕組みを作る。,Notebook（.ipynb）,pandas
A036,上級,Matplotlib/可視化,第33–36章,カスタムスタイルシート作成,社内標準の色・フォント・サイズを設定したstyleファイルを作る。,Notebook（.ipynb）,Matplotlib
A037,上級,Matplotlib/可視化,第33–36章,テーマ切替対応,ダーク/ライトで文字色やグリッドの見え方を最適化する関数を作る。,Notebook（.ipynb）,Matplotlib
A038,上級,Matplotlib/可視化,第33–36章,高解像度出力,論文向けのベクトル（PDF/SVG）とラスタ（PNG）の違いを実験。,Notebook（.ipynb）,Matplotlib
A039,上級,Matplotlib/可視化,第33–36章,3Dプロットの最適化,大規模点群の描画を間引き/アルファで可視化しやすくする。,Notebook（.ipynb）,Matplotlib
A040,上級,Matplotlib/可視化,第33–36章,インタラクティブ注釈,クリックで注釈を出す簡易インタラクションをmatplotlib.widgetsで作る。,Notebook（.ipynb）,Matplotlib
A041,上級,Matplotlib/可視化,第33–36章,アニメーション入門,FuncAnimationで時間変化するデータを動画化。,Notebook（.ipynb）,Matplotlib
A042,上級,Matplotlib/可視化,第33–36章,カラーマップ設計,連続/発散/定性カラーマップの選び方を事例で示す。,Notebook（.ipynb）,Matplotlib
A043,上級,Matplotlib/可視化,第33–36章,複数軸の整形,tight_layout/constrained_layoutの違いを比較する。,Notebook（.ipynb）,Matplotlib
A044,上級,Matplotlib/可視化,第33–36章,凡例の高度な配置,BboxToAnchorを使って余白にレジェンドを置く。,Notebook（.ipynb）,Matplotlib
A045,上級,Matplotlib/可視化,第33–36章,GridSpec+inset,大図の一部拡大をinset_axesで示す。,Notebook（.ipynb）,Matplotlib
A046,上級,Matplotlib/可視化,第33–36章,テキストのタイポグラフィ,数学表記（TeX）と通常テキストを混在させる。,Notebook（.ipynb）,Matplotlib
A047,上級,Matplotlib/可視化,第33–36章,出版品質チェック,フォント埋め込み・文字化け・線幅などのチェックリストを作る。,Notebook（.ipynb）,Matplotlib
A048,上級,Matplotlib/可視化,第33–36章,seabornのテーマをカスタム,set_themeのパラメータを調整して社内標準に近づける。,Notebook（.ipynb）,Matplotlib
A049,上級,Matplotlib/可視化,第33–36章,3D等高線のラベル,3D等高線に投影ラベルを重ねる。,Notebook（.ipynb）,Matplotlib
A050,上級,Matplotlib/可視化,第33–36章,グリッド上の共有色バー,複数サブプロットで色バーを1つにまとめる。,Notebook（.ipynb）,Matplotlib
A051,上級,機械学習（scikit-learn）,第39–47章,PCAの寄与率で次元選択,累積寄与率が90%になる次元数をデータごとに自動選択する関数を作る。,Notebook（.ipynb）,scikit-learn
A052,上級,機械学習（scikit-learn）,第39–47章,固有顔で顔認識,PCA（Eigenfaces）で次元削減→SVMで顔画像を分類（小規模データで可）。,Notebook（.ipynb）,scikit-learn
A053,上級,機械学習（scikit-learn）,第39–47章,IsomapとLLEの比較,合成S字データの低次元埋め込みを2手法で比較し、歪みを評価。,Notebook（.ipynb）,scikit-learn
A054,上級,機械学習（scikit-learn）,第39–47章,クラスタ数の選択（k-means）,肘法とシルエット係数を用いてkを選ぶ。,Notebook（.ipynb）,scikit-learn
A055,上級,機械学習（scikit-learn）,第39–47章,GMMでソフトクラスタリング,混合ガウスモデルで各点の所属確率を可視化。,Notebook（.ipynb）,scikit-learn
A056,上級,機械学習（scikit-learn）,第39–47章,テキスト分類パイプライン,Tfidf→LinearSVCでニュース分類し、誤分類例を解析。,Notebook（.ipynb）,scikit-learn
A057,上級,機械学習（scikit-learn）,第39–47章,特徴量重要度の安定性,ランダムフォレストのrandom_stateを変えて重要度のばらつきを評価。,Notebook（.ipynb）,scikit-learn
A058,上級,機械学習（scikit-learn）,第39–47章,相関の高い特徴量の処理,相関>0.95の特徴を削除してモデル比較。,Notebook（.ipynb）,scikit-learn
A059,上級,機械学習（scikit-learn）,第39–47章,ターゲットエンコーディング,リーク防止CV内でのターゲットエンコーディングを実装。,Notebook（.ipynb）,scikit-learn
A060,上級,機械学習（scikit-learn）,第39–47章,異常検知（IsolationForest）,異常点を含むデータで検出性能を評価。,Notebook（.ipynb）,scikit-learn
A061,上級,機械学習（scikit-learn）,第39–47章,回帰の正則化比較,Ridge/Lasso/ElasticNetを同一データで比較し、係数プロファイルを描く。,Notebook（.ipynb）,scikit-learn
A062,上級,機械学習（scikit-learn）,第39–47章,非線形回帰（SVR）,RBFカーネルのSVRで非線形回帰を実行。,Notebook（.ipynb）,scikit-learn
A063,上級,機械学習（scikit-learn）,第39–47章,特徴量パイプライン高度化,ColumnTransformerで数値：スケーリング+多項、カテゴリ：OneHot＋頻度、テキスト：TF-IDFを統合。,Notebook（.ipynb）,scikit-learn
A064,上級,機械学習（scikit-learn）,第39–47章,時系列交差検証,TimeSeriesSplitで未来情報のリークを避けた検証を行う。,Notebook（.ipynb）,scikit-learn
A065,上級,機械学習（scikit-learn）,第39–47章,外れ値ロバスト回帰,HuberRegressor/RANSACRegressorで外れ値に強い回帰を比較。,Notebook（.ipynb）,scikit-learn
A066,上級,機械学習（scikit-learn）,第39–47章,クラス不均衡対策,class_weightやSMOTE相当の合成データで対策を比較。,Notebook（.ipynb）,scikit-learn
A067,上級,機械学習（scikit-learn）,第39–47章,多クラスSVMの戦略,one-vs-rest/one-vs-oneの違いをdigitsで比較。,Notebook（.ipynb）,scikit-learn
A068,上級,機械学習（scikit-learn）,第39–47章,多出力回帰/分類,MultiOutputRegressor/Classifierの例を作る。,Notebook（.ipynb）,scikit-learn
A069,上級,機械学習（scikit-learn）,第39–47章,確率キャリブレーション,CalibratedClassifierCVで予測確率の較正を行う。,Notebook（.ipynb）,scikit-learn
A070,上級,機械学習（scikit-learn）,第39–47章,パラメトリックvsノンパラ,kNN・SVM・RFでバイアス/バリアンスの違いを観察。,Notebook（.ipynb）,scikit-learn
A071,上級,機械学習（scikit-learn）,第39–47章,特徴量スケーリングの効果,スケーリング有無でSVM/ロジスティック回帰の性能差を検証。,Notebook（.ipynb）,scikit-learn
A072,上級,機械学習（scikit-learn）,第39–47章,学習曲線からのサイジング,必要サンプル数を学習曲線から推定する。,Notebook（.ipynb）,scikit-learn
A073,上級,機械学習（scikit-learn）,第39–47章,グリッドサーチ×パイプライン,前処理と推定器を含む複合パラメータ空間でGridSearchCV。,Notebook（.ipynb）,scikit-learn
A074,上級,機械学習（scikit-learn）,第39–47章,partial dependence,PartialDependenceDisplayで特徴量と出力の関係を可視化。,Notebook（.ipynb）,scikit-learn
A075,上級,機械学習（scikit-learn）,第39–47章,Permutation Importance,入れ替え重要度で安定性と解釈力を比較。,Notebook（.ipynb）,scikit-learn
A076,上級,機械学習（scikit-learn）,第39–47章,SHAP風の簡易可視化,モデル非依存の寄与度を自作で近似（小規模実験）。,Notebook（.ipynb）,scikit-learn
A077,上級,機械学習（scikit-learn）,第39–47章,異常検知（OneClassSVM）,球状データでOneClassSVMの挙動を観察。,Notebook（.ipynb）,scikit-learn
A078,上級,機械学習（scikit-learn）,第39–47章,半教師あり学習,LabelSpreading/LabelPropagationを小規模データで試す。,Notebook（.ipynb）,scikit-learn
A079,上級,機械学習（scikit-learn）,第39–47章,教師なし前処理→教師あり,PCA/Isomapで次元削減後に分類・回帰を行う。,Notebook（.ipynb）,scikit-learn
A080,上級,機械学習（scikit-learn）,第39–47章,パイプラインのテスト戦略,train/test分割とCVの両立、乱数固定の指針を文書化。,Notebook（.ipynb）,scikit-learn
A081,上級,機械学習（scikit-learn）,第39–47章,モデルの安定性評価,ブートストラップでスコア分布を推定し、信頼区間を出す。,Notebook（.ipynb）,scikit-learn
A082,上級,機械学習（scikit-learn）,第39–47章,軽量モデル設計,特徴量を絞って学習時間と推論時間を削減。,Notebook（.ipynb）,scikit-learn
A083,上級,機械学習（scikit-learn）,第39–47章,確率的クラスタリング評価,GMMの情報量規準（AIC/BIC）でモデル選択。,Notebook（.ipynb）,scikit-learn
A084,上級,機械学習（scikit-learn）,第39–47章,階層的クラスタリング（scipy）,凝集型クラスタリングと樹形図を作る。,Notebook（.ipynb）,scikit-learn
A085,上級,機械学習（scikit-learn）,第39–47章,ミニプロジェクト：数字認識,digitsでE2E（前処理→学習→評価→可視化）を行う。,Notebook（.ipynb）,scikit-learn
A086,上級,機械学習（scikit-learn）,第39–47章,ミニプロジェクト：テキスト分類,小規模コーパスで前処理→学習→誤分類分析→改善を行う。,Notebook（.ipynb）,scikit-learn
A087,上級,機械学習（scikit-learn）,第39–47章,データ漏洩の検出と防止,リークを含む悪い例を設計し、正しいPipelineで防ぐ。,Notebook（.ipynb）,scikit-learn
A088,上級,機械学習（scikit-learn）,第39–47章,学習・推論時間の計測,fit/score/predictの所要時間をベンチマーク。,Notebook（.ipynb）,scikit-learn
A089,上級,機械学習（scikit-learn）,第39–47章,モデルの再現性,乱数・シード・環境の固定で再現実験を行う。,Notebook（.ipynb）,scikit-learn
A090,上級,機械学習（scikit-learn）,第39–47章,クロスバリデーション設計,GroupKFoldやLeaveOneOutの適用例を作る。,Notebook（.ipynb）,scikit-learn
A091,上級,機械学習（scikit-learn）,第39–47章,メタ推定器,Voting/Stackingで複数モデルのアンサンブルを作る。,Notebook（.ipynb）,scikit-learn
A092,上級,機械学習（scikit-learn）,第39–47章,確率出力の校正比較,Plattスケーリングと等温回帰を比較。,Notebook（.ipynb）,scikit-learn
A093,上級,機械学習（scikit-learn）,第39–47章,特徴量の相互作用,PolynomialFeaturesで相互作用を追加した場合の性能を比較。,Notebook（.ipynb）,scikit-learn
A094,上級,機械学習（scikit-learn）,第39–47章,データ前処理の順序効果,スケーリング→PCA と PCA→スケーリングで結果の違いを検証。,Notebook（.ipynb）,scikit-learn
A095,上級,機械学習（scikit-learn）,第39–47章,疎行列対応,text TF-IDFなど疎行列を扱う推定器を比較。,Notebook（.ipynb）,scikit-learn
A096,上級,機械学習（scikit-learn）,第39–47章,ラベルエンコーディングの罠,LabelEncoderを誤って特徴量に使った場合の悪影響を実験。,Notebook（.ipynb）,scikit-learn
A097,上級,機械学習（scikit-learn）,第39–47章,ターゲットリークの実演,未来情報を含む特徴を入れてしまった場合の異常に高いスコアを再現。,Notebook（.ipynb）,scikit-learn
A098,上級,機械学習（scikit-learn）,第39–47章,未知カテゴリ処理,OneHotEncoder(handle_unknown='ignore')の効果を確認。,Notebook（.ipynb）,scikit-learn
A099,上級,機械学習（scikit-learn）,第39–47章,再学習パイプライン,新データで再学習→評価→デプロイ（疑似）までの手順を定義。,Notebook（.ipynb）,scikit-learn
A100,上級,機械学習（scikit-learn）,第39–47章,モデルの文書化,モデルカード（簡易版）をNotebookで作成する。,Notebook（.ipynb）,scikit-learn